MONTH,AIRLINE,STATE,total_voos,total_atrasados
2,WN,AR,176,26
2,WN,AZ,4602,977
2,WN,CA,15281,3184
2,WN,CO,4094,1065
2,WN,CT,442,61
2,WN,FL,8009,1550
2,WN,GA,3170,664
2,WN,IA,77,10
2,WN,ID,242,26
2,WN,IL,5189,1294
2,WN,IN,724,131
2,WN,KS,119,18
2,WN,KY,285,46
2,WN,LA,1395,215
2,WN,MA,550,180
2,WN,MD,4420,1232
2,WN,ME,53,9
2,WN,MI,772,146
2,WN,MN,562,105
2,WN,MO,3572,744
2,WN,NC,747,125
2,WN,NE,391,76
2,WN,NH,263,40
2,WN,NJ,392,63
2,WN,NM,819,167
2,WN,NV,5756,1292
2,WN,NY,1908,423
2,WN,OH,1368,240
2,WN,OK,804,135
2,WN,OR,683,104
2,WN,PA,1305,220
2,WN,PR,243,31
2,WN,RI,396,93
2,WN,SC,246,29
2,WN,TN,1980,359
2,WN,TX,11273,2169
2,WN,UT,739,144
2,WN,VA,1473,156
2,WN,WA,906,147
2,WN,WI,944,177
3,AA,AL,61,7
3,AA,AZ,799,128
3,AA,CA,5051,783
3,AA,CO,837,157
3,AA,CT,92,9
3,AA,FL,6832,1424
3,AA,GA,476,76
3,AA,HI,411,70
3,AA,IA,63,14
3,AA,IL,4214,980
3,AA,IN,167,35
3,AA,KS,51,5
3,AA,KY,25,3
3,AA,LA,292,49
3,AA,MA,858,145
3,AA,MD,203,48
3,AA,MI,233,37
3,AA,MN,377,68
3,AA,MO,665,87
3,AA,NC,717,121
3,AA,NE,175,21
3,AA,NJ,295,41
3,AA,NM,152,21
3,AA,NV,957,166
3,AA,NY,2444,471
3,AA,OH,300,40
3,AA,OK,406,61
3,AA,OR,120,13
3,AA,PA,409,89
3,AA,PR,354,55
3,AA,TN,363,59
3,AA,TX,14083,3316
3,AA,UT,207,41
3,AA,VA,1207,242
3,AA,VI,177,32
3,AA,WA,365,41
3,AA,WI,67,19
3,AA,WY,33,5
3,AS,AK,2407,337
